Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.939539,0.934782,0.975465,0.968882,0.95202,0.960186,0.948287,0.907006,0.908492,0.913155,0.923081,0.916698,0.902822,0.88342,0.878856,0.876927,0.869966,0.904718,0.928934,0.907732,0.911262,0.904501,0.899169,0.925839
2010,7,2,0.929376,0.86574,0.775202,0.727671,0.647727,0.607534,0.495331,0.427496,0.454235,0.454029,0.431822,0.406272,0.338426,0.297999,0.276015,0.233156,0.223347,0.21217,0.175168,0.146022,0.118203,0.103251,0.079677,0.094312
2010,7,3,0.114013,0.087978,0.094936,0.09843,0.12573,0.153436,0.120362,0.107373,0.08739,0.073846,0.089268,0.085822,0.074418,0.051642,0.046182,0.059164,0.062196,0.077994,0.091632,0.069746,0.076195,0.101468,0.105531,0.077262
2010,7,4,0.081417,0.080121,0.057255,0.041909,0.023573,0.023676,0.03128,0.038416,0.05053,0.066369,0.081513,0.111626,0.110378,0.112607,0.110615,0.111779,0.110422,0.122877,0.136049,0.121652,0.11533,0.118585,0.112994,0.153592
2010,7,5,0.214415,0.22594,0.22525,0.246499,0.255605,0.232551,0.185065,0.191015,0.218562,0.26929,0.321369,0.391623,0.469338,0.482219,0.495192,0.430068,0.432378,0.419393,0.406812,0.392428,0.434129,0.439927,0.364896,0.294966
2010,7,6,0.304053,0.248781,0.209392,0.192362,0.17821,0.16422,0.16532,0.199413,0.220505,0.228792,0.254714,0.288696,0.291872,0.345614,0.373295,0.368078,0.353637,0.353316,0.366259,0.364455,0.36018,0.316125,0.260564,0.183106
2010,7,7,0.148198,0.1175,0.08526,0.065983,0.053156,0.047399,0.066465,0.144858,0.179547,0.22195,0.29413,0.357407,0.427456,0.466163,0.446501,0.447173,0.436039,0.388668,0.373346,0.374427,0.3881,0.452447,0.427796,0.30419
2010,7,8,0.383147,0.281124,0.314504,0.281733,0.416446,0.413328,0.322896,0.383284,0.323212,0.260231,0.324872,0.621711,0.526032,0.636639,0.628636,0.72677,0.755477,0.814638,0.808733,0.868085,0.856539,0.833541,0.881745,0.919721
2010,7,9,0.932377,0.937529,0.937628,0.951828,0.94597,0.935018,0.905179,0.919354,0.912096,0.906393,0.901394,0.865651,0.85954,0.896351,0.913796,0.978385,0.992775,0.981201,0.967147,0.96415,0.93128,0.911739,0.893308,0.908241
2010,7,10,0.915279,0.940459,0.925082,0.909277,0.908477,0.839992,0.720717,0.755121,0.816956,0.871224,0.859043,0.887065,0.907141,0.914555,0.924737,0.916329,0.892402,0.902518,0.903061,0.928919,0.916084,0.906878,0.872225,0.877284
2010,7,11,0.893896,0.910178,0.898944,0.8854,0.817526,0.741748,0.752504,0.7063,0.732032,0.731595,0.708166,0.722826,0.770978,0.803043,0.806648,0.806111,0.807759,0.787422,0.766314,0.728794,0.73323,0.744702,0.717641,0.760354
2010,7,12,0.771395,0.777384,0.786287,0.723297,0.748597,0.761585,0.772317,0.767312,0.719775,0.762247,0.791114,0.831362,0.840027,0.840555,0.815297,0.842102,0.85332,0.840155,0.840485,0.834923,0.874279,0.913306,0.79353,0.783751
2010,7,13,0.846823,0.877639,0.836918,0.755166,0.682356,0.64592,0.650678,0.684979,0.70197,0.708446,0.64239,0.603171,0.6145,0.626167,0.646982,0.68556,0.6958,0.687366,0.59279,0.484868,0.505363,0.492596,0.432787,0.444449
2010,7,14,0.488188,0.467796,0.492915,0.522435,0.472465,0.470003,0.340602,0.303749,0.350148,0.368872,0.383714,0.408418,0.41709,0.41049,0.411615,0.42948,0.340921,0.289679,0.299991,0.273926,0.265132,0.203281,0.137169,0.115632
2010,7,15,0.108039,0.077822,0.069518,0.064849,0.06619,0.059619,0.047291,0.045439,0.030108,0.032353,0.051528,0.086635,0.130078,0.093422,0.226581,0.52657,0.514194,0.548973,0.829234,0.788087,0.808822,0.78542,0.749366,0.835938
2010,7,16,0.798025,0.803786,0.745983,0.658617,0.648009,0.550272,0.327863,0.381233,0.490981,0.663775,0.739969,0.809868,0.830524,0.857047,0.868511,0.863024,0.867562,0.893623,0.881427,0.847765,0.843735,0.838218,0.818331,0.847165
2010,7,17,0.90555,0.938689,0.945982,0.943576,0.936954,0.911179,0.769517,0.773384,0.790749,0.825493,0.804801,0.804814,0.734182,0.701197,0.68527,0.628459,0.59742,0.585025,0.561754,0.579587,0.603371,0.641888,0.610888,0.719757
2010,7,18,0.847559,0.899562,0.936355,0.94311,0.944674,0.935356,0.828937,0.862024,0.896147,0.926905,0.957207,0.976621,0.983201,0.988105,0.989719,0.988111,0.987197,0.987501,0.981729,0.97654,0.968457,0.953828,0.918892,0.895501
2010,7,19,0.871077,0.811829,0.770075,0.716688,0.573418,0.516373,0.463115,0.471452,0.531282,0.575056,0.643984,0.765867,0.86769,0.957435,0.953003,0.975542,0.959528,0.952001,0.910317,0.908558,0.916764,0.920492,0.815601,0.895521
2010,7,20,0.886513,0.924283,0.959159,0.978336,0.96969,0.909284,0.840079,0.766443,0.784178,0.737879,0.696009,0.694059,0.735416,0.704212,0.725655,0.729215,0.730226,0.766045,0.843442,0.857925,0.824494,0.832251,0.840951,0.91906
2010,7,21,0.964852,0.962006,0.964949,0.95811,0.922857,0.9374,0.849717,0.689984,0.633639,0.651736,0.567275,0.515789,0.487441,0.476347,0.422809,0.410434,0.280707,0.238427,0.170395,0.13234,0.101062,0.089889,0.062816,0.032181
