Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.745087,0.844902,0.863275,0.842843,0.83918,0.825329,0.716471,0.788511,0.852241,0.888479,0.97341,0.984157,0.988452,0.984032,0.979869,0.98085,0.987731,0.994729,0.998691,0.999015,0.99924,0.99769,0.998186,0.997821
2010,7,2,0.999617,0.999435,0.999782,0.999459,0.998086,0.995189,0.99192,0.982442,0.98711,0.969129,0.961466,0.953655,0.96896,0.958789,0.948157,0.91952,0.819936,0.708626,0.641565,0.629386,0.602167,0.637511,0.607646,0.587847
2010,7,3,0.539981,0.617684,0.696625,0.68382,0.577971,0.457532,0.465159,0.585659,0.603022,0.57773,0.578471,0.642013,0.668864,0.776577,0.835514,0.835671,0.816342,0.793629,0.738406,0.704771,0.649545,0.540223,0.583095,0.539604
2010,7,4,0.207085,0.146626,0.111832,0.061453,0.026687,0.020308,0,0,0.032466,0.134591,0.212028,0.250313,0.373923,0.383927,0.491854,0.529322,0.543596,0.528436,0.554148,0.477376,0.448324,0.335068,0.311721,0.168051
2010,7,5,0.207556,0.23438,0.178287,0.170126,0.119345,0.105212,0.073063,0,0,0,0,0,0.036615,0.052154,0.036387,0,0,0.069747,0.068288,0.089963,0.089926,0.147354,0.129387,0.09983
2010,7,6,0.067135,0.142037,0.218701,0.280257,0.263792,0.233528,0.299192,0.359353,0.553887,0.744346,0.857915,0.877214,0.954071,0.983083,0.991329,0.981107,0.984876,0.98711,0.988116,0.9875,0.985931,0.975859,0.967587,0.951364
2010,7,7,0.969896,0.947225,0.917244,0.897212,0.873794,0.90155,0.870154,0.933298,0.966647,0.973527,0.978391,0.982795,0.986714,0.988795,0.990193,0.992607,0.994072,0.992772,0.992005,0.991763,0.99166,0.993093,0.988459,0.988835
2010,7,8,0.973538,0.960764,0.943544,0.8469,0.608691,0.509029,0.448889,0.526274,0.595859,0.758553,0.87643,0.899882,0.919999,0.934947,0.968236,0.983333,0.987683,0.987633,0.987254,0.995574,0.995594,0.99324,0.990436,0.95884
2010,7,9,0.96368,0.957029,0.908752,0.818001,0.819879,0.67418,0.671583,0.915918,0.980678,0.990176,0.995413,0.997481,0.99896,0.997074,0.988974,0.967608,0.869644,0.840102,0.882382,0.897559,0.970062,0.944585,0.778501,0.434353
2010,7,10,0.170126,0.112122,0.04723,0,0,0,0,0,0.021801,0.055024,0.094138,0.106953,0.10347,0.106072,0.10743,0.112187,0.126342,0.170882,0.155333,0.166872,0.224946,0.281105,0.170997,0.206784
2010,7,11,0.306496,0.287989,0.33419,0.347696,0.307123,0.262041,0.285225,0.390013,0.351411,0.346183,0.392157,0.477761,0.518602,0.633995,0.700903,0.756405,0.747021,0.814636,0.827961,0.858891,0.840462,0.813802,0.82716,0.817106
2010,7,12,0.839629,0.697209,0.686932,0.701794,0.692644,0.706226,0.702039,0.7928,0.83384,0.841597,0.784734,0.495639,0.728436,0.488701,0.479116,0.480478,0.295319,0.203219,0.219448,0.134489,0.075495,0.060334,0.082319,0.191708
2010,7,13,0.40095,0.63153,0.697117,0.777421,0.712304,0.570013,0.352008,0.393849,0.555855,0.56866,0.619945,0.547464,0.520495,0.637911,0.595847,0.457076,0.281318,0.11799,0.06422,0.072754,0.091695,0.102471,0.21465,0.124901
2010,7,14,0.186119,0.138966,0.195078,0.148209,0.184351,0.073443,0.079113,0.174138,0.037569,0,0.041471,0.050148,0.050611,0.142165,0.129042,0.1697,0.168962,0.096073,0.088276,0.063239,0.052228,0.020905,0.019553,0.071006
2010,7,15,0.198513,0.303653,0.295035,0.308734,0.196723,0.149789,0.148531,0.16884,0.135807,0.170336,0.22019,0.334251,0.389472,0.55123,0.589593,0.586697,0.545394,0.47427,0.490159,0.51177,0.579944,0.572823,0.847745,0.983892
