Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,2,1.85338,1.8813,2,1.9091,2,1.89502,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.93502
2010,7,2,1.9038,2,2,2,1.90472,2,2,2,2,1.91554,1.89254,2,2,1.90254,2,1.94942,2,2,1.92714,2,2,1.90726,2,2
2010,7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1.838,1.75244,1.67118,1.8942,1.22588,1.30438,1.5796,0.86346,0.23258,0.30982,1.22442
2010,7,4,0.76094,0.39934,0.33518,0.34774,0.29,0.30314,0.4932,0.3874,0.1204,0,0,0.14244,0.26856,0.27996,0.90544,1.00882,0.98946,0.85204,0.6479,0.40912,0.49118,0.50842,0.42088,0.62254
2010,7,5,0.57412,0.47726,0.51538,0.4203,0.4455,0.6174,0.6586,0.85608,1.13222,0.7885,0.33756,0.19188,0.18658,0.21858,0.26246,0.22038,0.21266,0.1345,0.13218,0.13186,0.23336,0.16436,0.26082,0
2010,7,6,0.25612,0.09342,0.08462,0.09402,0.07868,0.12058,0.15544,0.12318,0.19752,0.2141,0.2874,0.2329,0.18028,0.21576,0.26702,0.26588,0.36178,0.41084,0.50178,0.6479,0.84038,0.80622,0.94408,0.81664
2010,7,7,0.34792,0.23664,0.2076,0.15942,0.12198,0.09558,0.09038,0.12204,0.18694,0.27796,0.39488,0.64762,0.82582,0.86786,0.58568,0.38794,0.39086,0.51258,0.62254,0.7666,0.79652,0.81468,0.8124,0.7901
2010,7,8,0.41294,0.40026,0.43374,0.44654,0.58828,0.52618,0.69706,1.48834,2,1.19122,0.64818,1.159,0.23904,0.22726,0.35038,0,0.60242,0.3406,0.26082,0.1553,0.31726,0.51398,1.42702,1.4474
2010,7,9,1.2135,1.431,1.59754,1.78478,1.83146,1.94992,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2010,7,10,2,2,2,2,2,1.9412,1.64486,1.86912,1.85252,2,1.9468,1.84158,1.74608,1.82398,1.84688,1.7943,1.86552,1.75072,1.91298,1.7885,1.86232,2,1.95152,2
