Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.921387,0.906438,0.920867,0.919955,0.964449,0.982841,0.977048,0.981398,0.989702,0.996226,0.991933,0.996853,0.938075,0.998297,0.998343,0.996702,0.997217,0.982046,0.981931,0.970589,0.973754,0.955044,0.960437,0.955595
2010,7,2,0.927024,0.967935,0.910722,0.876801,0.839655,0.816077,0.67125,0.723533,0.773236,0.771271,0.811635,0.715164,0.592787,0.811562,0.812207,0.7628,0.800407,0.769256,0.805797,0.814367,0.804502,0.801694,0.807449,0.953493
2010,7,3,0.952083,0.923563,0.929856,0.918777,0.902533,0.860869,0.716461,0.782682,0.77168,0.82858,0.821851,0.838203,0.806671,0.702311,0.643367,0.637324,0.508893,0.397995,0.322948,0.341313,0.270939,0.122842,0.077781,0.222107
2010,7,4,0.206251,0.156779,0.134826,0.126961,0.098816,0.079692,0.073775,0.065367,0.059785,0.049339,0.045111,0.051207,0.066416,0.055826,0.15629,0.182229,0.194404,0.187836,0.163754,0.153045,0.16451,0.174243,0.14396,0.107541
2010,7,5,0.096292,0.171033,0.17944,0.098224,0.138056,0.165829,0.201439,0.22733,0.236885,0.191359,0.119741,0.103767,0.120178,0.122061,0.133218,0.110859,0.117358,0.119349,0.092472,0.104457,0.11159,0.148691,0.10581,0.053418
2010,7,6,0.119664,0.094657,0.084589,0.073232,0.087342,0.092376,0.086242,0.092959,0.134565,0.175891,0.237068,0.264868,0.286058,0.316445,0.362677,0.411881,0.471248,0.51842,0.561863,0.595366,0.641043,0.629879,0.60989,0.536369
2010,7,7,0.364527,0.297809,0.289806,0.264177,0.222617,0.165744,0.182165,0.219088,0.261205,0.348011,0.428016,0.528372,0.572177,0.614623,0.617008,0.614988,0.609643,0.583557,0.561606,0.57271,0.580164,0.609608,0.582442,0.552409
2010,7,8,0.403669,0.432517,0.501529,0.525489,0.586476,0.558651,0.621454,0.806654,0.899098,0.605889,0.422911,0.352407,0.281307,0.200067,0.255258,0.183377,0.265727,0.372858,0.273558,0.372074,0.495638,0.619703,0.796891,0.832226
2010,7,9,0.86897,0.903125,0.932747,0.952511,0.9719,0.978917,0.987641,0.99169,0.991721,0.990039,0.989843,0.991373,0.993646,0.994339,0.995074,0.994422,0.995066,0.993911,0.993842,0.992343,0.997918,0.997604,0.997177,0.997345
2010,7,10,0.998527,0.997585,0.994943,0.984514,0.957083,0.826228,0.750746,0.767751,0.834403,0.831594,0.720862,0.816659,0.796814,0.850461,0.827632,0.696199,0.794405,0.823075,0.832082,0.847929,0.846802,0.838156,0.851595,0.884679
