Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.43805,1.43964,1.452675,1.42341,1.42848,1.43964,1.5,1.407285,1.02882,1.24545,1.27119,0.912765,1.23939,0.85836,1.199865,1.273515
2010,7,2,0.57396,1.438425,1.157205,0.23895,0.377445,0.578895,0.644235,0.95082,0.801315,0.6798,0.699735,0.67239,0.27072,0.265125,0.20172,0.214425,0.33648,0.490875,0.559935,0.475245,0.37983,0.59847,0.21918,0.26622
2010,7,3,0.186375,0.177345,0.21318,0.30156,0.273615,0.207855,0.27138,0.515205,0.170085,0.174555,0.13374,0.15537,0.261135,0.362085,0.30897,0.23886,0.11148,0.05958,0,0.071595,0.19326,0.29454,0.35061,0.184755
2010,7,4,0.124185,0.089565,0.059835,0,0,0,0.077355,0.10065,0.11124,0.09078,0.08673,0.08313,0.07089,0.05895,0.13194,0.14154,0.13284,0.119865,0.115785,0.08163,0.08349,0.08802,0.057015,0.069375
2010,7,5,0.07428,0.069885,0.08448,0.10446,0.145095,0.14316,0.145155,0.15525,0.16257,0.227025,0.437685,0.43518,0.505185,0.63702,0.80964,0.607125,0.560535,0.52344,0.38952,0.23778,0.487395,0.463515,0.248385,0.44823
2010,7,6,0.866955,0.51807,0.477945,0.400665,0.30846,0.22977,0.22488,0.17802,0.31059,0.41496,0.68475,0.42636,0.44823,0.517695,0.59364,0.69768,0.81393,0.78069,0.732645,0.70065,0.84999,0.552105,0.495675,0.56397
2010,7,7,0.584475,0.590295,0.522105,0.42291,0.307845,0.21477,0.23553,0.066705,0.162705,0.267525,0.231105,0.19758,0.615,0.684075,0.744975,0.815595,1.083555,0.64467,0.63462,0.63006,0.577245,0.54831,0.66813,0.738915
2010,7,8,0.927465,0.94611,1.02657,0.526725,0.796575,1.39356,1.5,1.5,1.37856,0.59973,0.312735,0.11727,1.160085,0.80085,0.824655,1.196655,0.791355,0.860265,1.5,1.5,1.5,1.5,1.5,1.5
2010,7,9,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2010,7,10,1.5,1.46208,1.5,1.5,1.5,1.5,1.5,1.439175,1.444605,1.46055,1.457745,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.45479,1.42101,1.36638,1.28742,1.415325,1.41237
2010,7,11,1.445535,1.5,1.5,1.5,1.39332,1.394025,1.45875,1.41708,1.461585,1.5,1.5,1.44456,1.5,1.5,1.5,1.5,1.42956,0.909195,0.94188,0.92865,0.91395,0.72453,1.06287,0.874605
2010,7,12,1.433655,1.27191,0.4443,0.91323,0.43383,0.862185,0.82251,0.97092,1.028595,0.695415,0.77904,0.44754,1.075425,1.148505,0.798225,0.47328,0.771015,0.5793,0.409185,0.21855,0.14001,0.16095,0.20691,0.073905
2010,7,13,0.09726,0.14328,0.16995,0.188955,0.16959,0.12165,0.20511,0.57069,0.28119,0.312345,0.431505,0.3168,0.35412,0.440565,0.503865,0.79254,0.86337,0.94941,0.511035,0.37197,0.427845,0.418035,0.41592,0.5529
2010,7,14,0.475425,0.45408,0.388455,0.618,0.33702,0.43719,0.317565,0.478665,0.363675,0.520755,0.925575,0.7878,0.7098,0.731715,0.39801,0.455655,0.43803,0.38601,0.450465,0.43266,0.41625,0.384645,0.21909,0.354825
