Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.472909,0.602887,0.720356,0.750761,0.690828,0.596209,0.647406,0.628562,0.663951,0.600278,0.625207,0.64599,0.661064,0.699944,0.713733,0.731394,0.691845,0.659866,0.661565,0.718723,0.791742,0.904469,0.945705,0.953029
2010,7,2,0.949741,0.968099,0.970256,0.974078,0.976663,0.972071,0.966383,0.957409,0.963262,0.968281,0.974433,0.972795,0.960761,0.945472,0.927967,0.893932,0.884336,0.83001,0.776126,0.760375,0.71967,0.762078,0.684559,0.678464
2010,7,3,0.668082,0.65546,0.665847,0.632188,0.614416,0.568122,0.609778,0.666475,0.714408,0.74603,0.751604,0.745332,0.730342,0.669446,0.612167,0.515715,0.466743,0.490282,0.470082,0.510663,0.5149,0.372486,0.40569,0.333096
2010,7,4,0.244533,0.214218,0.139695,0.101298,0.104781,0.086197,0.057996,0.040592,0.051339,0.093995,0.114492,0.084558,0.07842,0.112964,0.267655,0.498227,0.566239,0.538493,0.54414,0.591167,0.557052,0.557471,0.676285,0.694603
2010,7,5,0.608789,0.513482,0.317745,0.209121,0.15172,0.080846,0.10021,0.136615,0.177353,0.186874,0.225554,0.204625,0.227841,0.22524,0.167509,0.14172,0.113144,0.122233,0.161297,0.153253,0.108703,0.089194,0.048655,0.03438
2010,7,6,0.101122,0.137559,0.162611,0.198946,0.253482,0.323669,0.307338,0.376094,0.47052,0.466815,0.505344,0.41858,0.406124,0.472676,0.487906,0.538652,0.620163,0.718136,0.779457,0.797247,0.887857,0.934831,0.949924,0.935572
2010,7,7,0.936632,0.893266,0.856447,0.873482,0.870934,0.929395,0.824609,0.853306,0.907428,0.935593,0.949481,0.953564,0.94465,0.964637,0.977603,0.963601,0.98258,0.97331,0.976168,0.96837,0.972071,0.980922,0.975887,0.960531
2010,7,8,0.941155,0.920051,0.926742,0.857067,0.773215,0.747909,0.554545,0.708437,0.795482,0.862898,0.876567,0.883416,0.888533,0.849762,0.799621,0.829546,0.814503,0.722373,0.876861,0.828767,0.63365,0.680517,0.650926,0.835959
2010,7,9,0.794758,0.584548,0.748535,0.78463,0.828257,0.479843,0.644695,0.441334,0.706178,0.635614,0.584834,0.571339,0.722788,0.508927,0.422256,0.328481,0.292701,0.262597,0.326437,0.341015,0.358337,0.349208,0.420714,0.522566
2010,7,10,0.541831,0.516805,0.507418,0.386231,0.377914,0.310714,0.269301,0.212106,0.236904,0.311216,0.292754,0.315314,0.273202,0.255859,0.297509,0.280308,0.264211,0.216311,0.177513,0.184019,0.130783,0.056156,0.014138,0.032612
2010,7,11,0.041183,0.05109,0.042911,0.041054,0.040918,0.060534,0.054477,0.049602,0.058692,0.081918,0.102037,0.077014,0.108489,0.141824,0.145448,0.175939,0.186833,0.19074,0.200153,0.252623,0.296535,0.228471,0.372007,0.407074
2010,7,12,0.501009,0.47552,0.441046,0.393278,0.321062,0.257576,0.252614,0.222755,0.213147,0.227909,0.287868,0.433348,0.562462,0.562394,0.567725,0.426952,0.221185,0.314627,0.428303,0.438132,0.332057,0.259185,0.30828,0.319672
2010,7,13,0.38676,0.397115,0.488376,0.497545,0.475975,0.316718,0.252584,0.197908,0.146463,0.108077,0.090061,0.076248,0.083066,0.168942,0.247573,0.22263,0.256561,0.289876,0.182775,0.169435,0.180766,0.086802,0.18564,0.359516
2010,7,14,0.382695,0.354999,0.36056,0.362381,0.333474,0.253481,0.090187,0.060778,0.139693,0.145545,0.063154,0.174246,0.291272,0.181957,0.209493,0.412945,0.458151,0.544215,0.600815,0.50218,0.484158,0.581315,0.636593,0.641036
2010,7,15,0.668256,0.671894,0.648252,0.685348,0.688405,0.514122,0.281376,0.348412,0.494856,0.662716,0.633753,0.676433,0.736645,0.773408,0.784541,0.733516,0.638662,0.606703,0.597368,0.636139,0.585076,0.533886,0.714193,0.58652
2010,7,16,0.657866,0.808886,0.838462,0.88823,0.939733,0.925975,0.878243,0.919358,0.91271,0.909699,0.979277,0.961107,0.91755,0.743441,0.686172,0.730954,0.722694,0.693583,0.677355,0.550683,0.392476,0.425964,0.388384,0.299714
2010,7,17,0.189265,0.100533,0.078914,0.101934,0.168308,0.157635,0.089858,0.083658,0.142075,0.195004,0.202521,0.219508,0.199804,0.17497,0.140533,0.154594,0.149744,0.18065,0.152652,0.129366,0.101361,0.035812,0,0
2010,7,18,0,0,0,0.012618,0.035788,0.051476,0.058038,0.032451,0.046372,0.054971,0.078671,0.072948,0.07085,0.127179,0.212087,0.249237,0.241396,0.250959,0.208776,0.207793,0.227906,0.077079,0.11934,0.101571
2010,7,19,0.124863,0.108854,0.072433,0.050867,0.035903,0.016056,0.028997,0.046366,0.043206,0.094501,0.1803,0.239524,0.285618,0.280154,0.278758,0.252407,0.262442,0.254085,0.271255,0.266188,0.247044,0.106892,0.172052,0.190137
2010,7,20,0.247844,0.192071,0.165855,0.142734,0.125293,0.112989,0.141994,0.164765,0.13327,0.135641,0.192657,0.304217,0.336554,0.328566,0.300928,0.233011,0.234093,0.257236,0.272606,0.312102,0.276628,0.17307,0.270388,0.303855
2010,7,21,0.360897,0.320022,0.291235,0.3307,0.309477,0.266185,0.249003,0.290205,0.378336,0.465581,0.555871,0.562266,0.594174,0.601836,0.534881,0.53045,0.510518,0.561673,0.577848,0.610383,0.617079,0.623758,0.675357,0.615043
2010,7,22,0.602063,0.58167,0.606174,0.600516,0.577989,0.522565,0.49183,0.579698,0.685175,0.731395,0.706564,0.672179,0.650169,0.667501,0.663675,0.642674,0.581716,0.560085,0.527065,0.513188,0.380768,0.291403,0.319195,0.332524
2010,7,23,0.319201,0.297966,0.296125,0.28245,0.272838,0.267604,0.273241,0.38575,0.488498,0.588275,0.67653,0.645001,0.690404,0.665303,0.650728,0.649241,0.631388,0.621045,0.531515,0.476002,0.413494,0.362659,0.42071,0.373989
2010,7,24,0.334385,0.182732,0.131909,0.147683,0.134999,0.13343,0.181417,0.217242,0.276783,0.32422,0.347828,0.326577,0.33475,0.302713,0.350203,0.363719,0.41854,0.466578,0.525505,0.315734,0.260299,0.229436,0.361117,0.359313
2010,7,25,0.271866,0.211464,0.181959,0.211618,0.241697,0.168281,0.16524,0.152875,0.140713,0.202324,0.305984,0.411596,0.479327,0.599658,0.608702,0.529645,0.498678,0.501256,0.49254,0.491329,0.445115,0.493708,0.472944,0.425071
2010,7,26,0.504029,0.539104,0.566847,0.562183,0.511339,0.450812,0.285009,0.305316,0.300131,0.35596,0.4679,0.405238,0.358062,0.324382,0.309173,0.299869,0.259776,0.221103,0.18616,0.152851,0.13646,0.035742,0.069159,0.072249
2010,7,27,0.058668,0.036134,0.05864,0.063294,0.048873,0.063731,0.270929,0.324999,0.380406,0.354388,0.314528,0.190396,0.028343,0.045986,0.064074,0.194062,0.353285,0.397968,0.452915,0.406605,0.364575,0.419422,0.536496,0.644514
2010,7,28,0.686916,0.609716,0.623923,0.827765,0.845091,0.625836,0.328784,0.311613,0.34867,0.286184,0.361041,0.311824,0.21702,0.224367,0.316875,0.286638,0.166955,0.258578,0.190929,0.134188,0.088443,0.050784,0.08911,0.068829
2010,7,29,0.124819,0.207087,0.260191,0.215328,0.243161,0.201737,0.104911,0.059347,0.024844,0.017342,0.010747,0.017762,0.055335,0.090294,0.06564,0.075105,0.116004,0.14219,0.150579,0.220805,0.205423,0.1272,0.315273,0.389595
2010,7,30,0.377325,0.427564,0.374592,0.35867,0.384421,0.36659,0.237139,0.232795,0.194614,0.258705,0.252926,0.229686,0.213349,0.247923,0.253844,0.302671,0.275106,0.241232,0.219097,0.182591,0.126335,0.013553,0.073127,0.072887
2010,7,31,0.0704,0.057532,0.066721,0.049275,0.044392,0.026609,0.015141,0.038988,0.046231,0.088405,0.094787,0.12251,0.122216,0.131524,0.106114,0.053492,0.0606,0.067903,0.071259,0.078849,0.086098,0.016337,0.089935,0.11905
2010,8,1,0.136243,0.097712,0.083241,0.077182,0.068483,0.061411,0.047201,0.07244,0.126493,0.205664,0.264738,0.244354,0.198075,0.172474,0.163668,0.168212,0.192703,0.168503,0.16527,0.135896,0.11099,0,0.015566,0.011599
