Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,0.425691,0.537756,0.563368,0.514576,0.431358,0.445839,0.335719,0.213826,0.131721,0.063181,0.053978,0.097537,0.100086,0.174248,0.238106,0.332014,0.375243,0.477672,0.580889,0.688124,0.719023,0.803577,0.778115,0.798194
2010,7,2,0.783283,0.812527,0.835214,0.865985,0.879482,0.860061,0.842832,0.933827,0.93188,0.909643,0.884174,0.834991,0.787612,0.756084,0.726485,0.723302,0.702743,0.729249,0.634602,0.504577,0.510311,0.571793,0.56548,0.642205
2010,7,3,0.709264,0.767594,0.879168,0.915482,0.928199,0.9397,0.945414,0.964962,0.96019,0.933093,0.950404,0.951529,0.938611,0.951415,0.96119,0.935366,0.927182,0.905425,0.916208,0.894699,0.901391,0.91585,0.856205,0.891777
2010,7,4,0.881054,0.840872,0.727702,0.670839,0.556509,0.463019,0.330792,0.274137,0.255625,0.347726,0.36969,0.380888,0.393769,0.46343,0.428776,0.439574,0.427105,0.297767,0.345758,0.406387,0.401523,0.452874,0.427267,0.55297
2010,7,5,0.574803,0.659086,0.582467,0.614397,0.537216,0.442181,0.359836,0.330427,0.324587,0.31243,0.251154,0.219471,0.203329,0.180129,0.184284,0.205306,0.172461,0.16645,0.174319,0.173613,0.157702,0.148674,0.076998,0.039885
2010,7,6,0.010589,0.002407,0.02548,0.051,0.054321,0.08609,0.053696,0.064284,0.138939,0.219531,0.269153,0.273119,0.306644,0.304515,0.320016,0.334647,0.356281,0.372076,0.391974,0.388255,0.389971,0.378816,0.374192,0.411492
2010,7,7,0.416412,0.375627,0.375488,0.346398,0.290389,0.214662,0.179833,0.16562,0.171417,0.186172,0.216339,0.239611,0.276045,0.28479,0.296358,0.295984,0.28437,0.256431,0.22207,0.199917,0.189694,0.175708,0.184281,0.20608
2010,7,8,0.255858,0.253353,0.233787,0.194448,0.194029,0.193817,0.23202,0.325817,0.468015,0.575089,0.661671,0.777774,0.779722,0.757896,0.662055,0.764093,0.690941,0.681124,0.706055,0.721546,0.742681,0.735728,0.809662,0.618039
2010,7,9,0.634721,0.599238,0.299679,0.163374,0.2941,0.384648,0.426276,0.574185,0.573038,0.513181,0.514101,0.531056,0.677626,0.762039,0.822264,0.83424,0.83368,0.832343,0.810523,0.784491,0.754612,0.791614,0.828352,0.817143
2010,7,10,0.852984,0.855035,0.870289,0.88835,0.879392,0.842964,0.807788,0.83316,0.828462,0.774426,0.786287,0.77275,0.743172,0.69822,0.669388,0.564338,0.512511,0.514531,0.533159,0.49817,0.552331,0.550177,0.555387,0.575149
