Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,1.37112525,1.17558045,1.55405745,1.59297435,1.49232105,1.65,1.6004835,1.41865515,1.4373546,1.4402982,1.4424036,1.44608805,1.51919295,1.49538345,1.4591016,1.2963786,1.3540263,1.3433838,1.6021962,1.65,1.65,1.65,1.65,1.65
2010,7,2,1.65,1.5714237,1.5307611,1.4409483,0.98018745,0.94230015,0.58499925,0.55780725,0.49776705,0.4598616,0.4423089,0.4489782,0.29514045,0.3090483,0.2897136,0.2579412,0.2570766,0.186582,0.1607331,0.13604415,0.10463145,0.1112034,0.10299795,0.1798962
2010,7,3,0.3340953,0.24034395,0.3587793,0.3043953,0.25376505,0.2340591,0.19922925,0.15449775,0.0859419,0.10963095,0.2778072,0.24809895,0.1856778,0.0772695,0,0,0,0.09431895,0.14272995,0,0,0,0.05299305,0
2010,7,4,0,0.08632305,0.08002005,0.0831534,0,0,0.07261815,0,0,0.10299795,0.1790217,0.3542781,0.3852519,0.43691505,0.320364,0.2631882,0.2342835,0.2431374,0.2599278,0.20701065,0.13805715,0.1101705,0.16640085,0.32355675
2010,7,5,0.48162675,0.4042071,0.31110585,0.2647062,0.2568291,0.2465529,0.13684605,0.23259555,0.3977391,0.63837015,0.58849395,0.61877145,0.56652585,0.5026461,0.5359728,0.3298746,0.3574395,0.42163935,0.48616425,0.48097995,0.528759,0.4475559,0.34721445,0.33488235
2010,7,6,0.34188,0.21157455,0.13412355,0.09153045,0.07377315,0.07297785,0.1010427,0.0948783,0.0824604,0.0949707,0.1083456,0.1390752,0.20323215,0.3078801,0.40700715,0.47413905,0.45841125,0.4270695,0.4367154,0.4682172,0.5355042,0.4030917,0.3383655,0.2036265
2010,7,7,0.13068495,0.0910371,0.0605418,0,0,0,0,0.14893725,0.18813135,0.15472545,0.16088985,0.4151235,0.66401775,0.7446978,0.59024625,0.50868675,0.47222835,0.30468405,0.2676366,0.26738085,0.30919515,0.46256265,0.4177965,0.2574462
2010,7,8,0.15870525,0.21260085,0.75334215,0.0695376,0.26827845,1.65,1.3003815,0.3125826,0.84195045,0.38596635,0.13223265,0.9999891,1.050456,0.96980895,0.51206595,0.4924854,0.82365855,1.1452914,1.07462025,1.54948035,1.6067304,1.60525365,1.65,1.59620505
2010,7,9,1.65,1.65,1.60262685,1.5958668,1.6066908,1.6080075,1.65,1.65,1.65,1.65,1.65,1.5879732,1.65,1.65,1.52414625,1.52790495,1.65,1.65,1.65,1.65,1.65,1.65,1.54196625,1.38362565
2010,7,10,1.3942005,1.65,1.5472941,1.43103345,1.44433245,1.03903965,0.6415431,1.08054705,1.1694738,1.3470303,1.2497562,1.4288373,1.5327642,1.5276987,1.58177745,1.5909993,1.43784795,1.40920395,1.41136875,1.59749535,1.52477985,1.46254515,1.6040211,1.65
