Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,1.5,1.3900305,1.410975,1.5,1.431822,1.5,1.421259,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4512665
2010,7,2,1.427853,1.5,1.5,1.5,1.42854,1.5,1.5,1.5,1.5,1.4366505,1.419405,1.5,1.5,1.426908,1.5,1.462062,1.5,1.5,1.4453595,1.5,1.5,1.430442,1.5,1.5
2010,7,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.3785,1.314333,1.253388,1.4206455,0.9194055,0.978288,1.1846925,0.647601,0.1744305,0.232371,0.9183135
2010,7,4,0.5707065,0.2995005,0.251382,0.2608095,0.217503,0.2273475,0.369894,0.2905485,0.0902955,0,0,0.1068315,0.201414,0.2099625,0.6790725,0.7566135,0.742095,0.639036,0.4859175,0.30684,0.368382,0.381318,0.3156585,0.4668975
2010,7,5,0.430593,0.3579465,0.386529,0.315219,0.334131,0.4630425,0.4939425,0.6420525,0.849171,0.591369,0.25317,0.143913,0.139935,0.163932,0.196842,0.1652805,0.159492,0.100881,0.0991305,0.0988905,0.175017,0.123267,0.195621,0
2010,7,6,0.192093,0.0700635,0.0634635,0.070509,0.059016,0.0904275,0.116583,0.0923835,0.1481445,0.160572,0.2155425,0.174681,0.1352115,0.161814,0.200262,0.1994025,0.271329,0.308127,0.3763365,0.4859175,0.6302805,0.604665,0.708066,0.6124815
2010,7,7,0.2609325,0.177474,0.155694,0.1195605,0.0914895,0.0716865,0.0677805,0.091533,0.140205,0.208464,0.296166,0.485709,0.6193695,0.650892,0.4392585,0.2909565,0.293139,0.384438,0.4668975,0.5749425,0.59739,0.6110115,0.6092985,0.592569
2010,7,8,0.3097065,0.300198,0.3253035,0.334902,0.4412025,0.3946365,0.522792,1.116255,1.5,0.893412,0.4861275,0.8692425,0.1792725,0.1704495,0.2627835,0,0.4518195,0.2554515,0.195621,0.1164705,0.2379495,0.385482,1.070271,1.0855515
2010,7,9,0.910119,1.0732485,1.198155,1.338579,1.373601,1.4624355,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2010,7,10,1.5,1.5,1.5,1.5,1.5,1.455897,1.2336435,1.4018325,1.3893855,1.5,1.460106,1.3811835,1.30956,1.367991,1.3851585,1.345728,1.3991415,1.3130415,1.434735,1.3413705,1.396734,1.5,1.4636325,1.5
